,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 12:50:00,177.69,177.89,177.59,177.88,75,11,0,0,AAPL
1,2022-03-30 12:55:00,177.88,178.01,177.84,177.99,73,11,0,1,AAPL
2,2022-03-30 13:00:00,178.01,178.23,177.86,177.86,104,11,0,2,AAPL
3,2022-03-30 13:05:00,177.86,177.99,177.71,177.79,107,10,0,3,AAPL
4,2022-03-30 13:10:00,177.76,178.18,177.75,178.09,102,10,0,4,AAPL
5,2022-03-30 13:15:00,178.1,178.22,177.93,178.18,94,11,0,5,AAPL
6,2022-03-30 13:20:00,178.18,178.39,178.09,178.28,164,11,0,6,AAPL
7,2022-03-30 13:25:00,178.29,178.64,177.8,178.39,294,11,0,7,AAPL
8,2022-03-30 13:30:00,178.49,179.58,178.17,179.55,1964,5,0,8,AAPL
9,2022-03-30 13:35:00,179.53,179.57,178.49,178.72,1257,5,0,9,AAPL
10,2022-03-30 13:40:00,178.72,178.93,178.62,178.7,1016,5,0,10,AAPL
11,2022-03-30 13:45:00,178.71,179.09,178.48,178.93,933,5,0,11,AAPL
12,2022-03-30 13:50:00,178.94,179.01,178.32,178.35,851,5,0,12,AAPL
13,2022-03-30 13:55:00,178.36,178.74,178.25,178.71,822,5,0,13,AAPL
14,2022-03-30 14:00:00,178.72,178.91,178.54,178.79,771,5,0,14,AAPL
15,2022-03-30 14:05:00,178.8,178.96,178.51,178.59,722,5,0,15,AAPL
16,2022-03-30 14:10:00,178.6,179.41,178.6,179.39,810,5,0,16,AAPL
17,2022-03-30 14:15:00,179.4,179.49,179.0,179.09,702,5,0,17,AAPL
18,2022-03-30 14:20:00,179.1,179.34,178.91,179.23,596,5,0,18,AAPL
19,2022-03-30 14:25:00,179.24,179.37,178.79,178.88,590,5,0,19,AAPL
20,2022-03-30 14:30:00,178.89,178.95,178.58,178.7,631,5,0,20,AAPL
21,2022-03-30 14:35:00,178.7,179.0,178.63,178.91,507,5,0,21,AAPL
22,2022-03-30 14:40:00,178.92,178.94,178.58,178.66,439,5,0,22,AAPL
23,2022-03-30 14:45:00,178.66,178.81,178.49,178.49,455,5,0,23,AAPL
24,2022-03-30 14:50:00,178.49,178.59,178.01,178.06,391,5,0,24,AAPL
25,2022-03-30 14:55:00,178.07,178.1,177.82,177.89,400,5,0,25,AAPL
26,2022-03-30 15:00:00,177.88,177.97,177.64,177.71,456,5,0,26,AAPL
27,2022-03-30 15:05:00,177.71,177.74,177.53,177.61,430,5,0,27,AAPL
28,2022-03-30 15:10:00,177.62,177.81,177.44,177.57,540,5,0,28,AAPL
29,2022-03-30 15:15:00,177.57,177.96,177.54,177.92,476,5,0,29,AAPL
30,2022-03-30 15:20:00,177.93,177.95,177.71,177.8,393,5,0,30,AAPL
31,2022-03-30 15:25:00,177.79,177.82,177.49,177.63,357,5,0,31,AAPL
32,2022-03-30 15:30:00,177.64,178.02,177.6,178.02,387,5,0,32,AAPL
33,2022-03-30 15:35:00,178.03,178.16,177.91,177.94,416,5,0,33,AAPL
34,2022-03-30 15:40:00,177.95,177.95,177.59,177.7,422,5,0,34,AAPL
35,2022-03-30 15:45:00,177.7,177.91,177.65,177.77,380,5,0,35,AAPL
36,2022-03-30 15:50:00,177.78,177.78,177.54,177.67,379,5,0,36,AAPL
37,2022-03-30 15:55:00,177.67,177.82,177.56,177.77,345,5,0,37,AAPL
38,2022-03-30 16:00:00,177.77,178.04,177.68,177.91,346,5,0,38,AAPL
39,2022-03-30 16:05:00,177.91,177.91,177.58,177.72,314,5,0,39,AAPL
40,2022-03-30 16:10:00,177.71,177.82,177.48,177.71,339,5,0,40,AAPL
41,2022-03-30 16:15:00,177.72,177.86,177.69,177.75,238,5,0,41,AAPL
42,2022-03-30 16:20:00,177.76,177.82,177.59,177.71,259,5,0,42,AAPL
43,2022-03-30 16:25:00,177.69,177.83,177.63,177.74,247,5,0,43,AAPL
44,2022-03-30 16:30:00,177.74,177.8,177.64,177.8,235,5,0,44,AAPL
45,2022-03-30 16:35:00,177.81,178.12,177.79,178.12,233,5,0,45,AAPL
46,2022-03-30 16:40:00,178.13,178.32,178.08,178.3,215,5,0,46,AAPL
47,2022-03-30 16:45:00,178.3,178.31,178.15,178.18,209,5,0,47,AAPL
