,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:40:00,242.86,243.09,242.42,243.0,181,17,0,0,AMGN
1,2022-03-30 13:45:00,243.0,243.2,242.68,243.13,180,17,0,1,AMGN
2,2022-03-30 13:50:00,243.13,243.77,242.77,243.5,176,15,0,2,AMGN
3,2022-03-30 13:55:00,243.47,243.69,243.32,243.68,249,10,0,3,AMGN
4,2022-03-30 14:00:00,243.7,243.88,243.42,243.48,217,10,0,4,AMGN
5,2022-03-30 14:05:00,243.47,243.56,243.04,243.11,212,11,0,5,AMGN
6,2022-03-30 14:10:00,243.12,243.3,242.49,242.53,225,11,0,6,AMGN
7,2022-03-30 14:15:00,242.53,242.73,242.21,242.3,210,12,0,7,AMGN
8,2022-03-30 14:20:00,242.29,242.38,241.95,242.3,215,10,0,8,AMGN
9,2022-03-30 14:25:00,242.29,242.72,242.24,242.3,186,10,0,9,AMGN
10,2022-03-30 14:30:00,242.3,242.4,242.07,242.25,175,10,0,10,AMGN
11,2022-03-30 14:35:00,242.26,242.46,242.2,242.35,135,10,0,11,AMGN
12,2022-03-30 14:40:00,242.37,242.68,242.24,242.61,147,10,0,12,AMGN
13,2022-03-30 14:45:00,242.62,243.32,242.62,243.28,166,10,0,13,AMGN
14,2022-03-30 14:50:00,243.31,243.57,243.19,243.41,144,11,0,14,AMGN
15,2022-03-30 14:55:00,243.41,243.47,243.25,243.34,112,12,0,15,AMGN
16,2022-03-30 15:00:00,243.34,243.6,243.33,243.44,139,11,0,16,AMGN
17,2022-03-30 15:05:00,243.43,243.46,243.01,243.01,161,10,0,17,AMGN
18,2022-03-30 15:10:00,243.01,243.09,242.69,242.99,139,10,0,18,AMGN
19,2022-03-30 15:15:00,242.99,243.58,242.56,243.57,325,10,0,19,AMGN
20,2022-03-30 15:20:00,243.57,243.92,243.42,243.9,170,11,0,20,AMGN
21,2022-03-30 15:25:00,243.9,243.95,243.65,243.88,147,11,0,21,AMGN
22,2022-03-30 15:30:00,243.88,244.39,243.79,244.31,195,11,0,22,AMGN
23,2022-03-30 15:35:00,244.34,244.62,244.13,244.13,152,11,0,23,AMGN
24,2022-03-30 15:40:00,244.13,244.16,243.87,243.88,95,12,0,24,AMGN
25,2022-03-30 15:45:00,243.89,244.06,243.44,243.45,120,11,0,25,AMGN
26,2022-03-30 15:50:00,243.45,243.56,243.16,243.39,125,11,0,26,AMGN
27,2022-03-30 15:55:00,243.4,243.4,243.08,243.09,86,11,0,27,AMGN
28,2022-03-30 16:00:00,243.09,243.35,242.96,243.18,222,10,0,28,AMGN
29,2022-03-30 16:05:00,243.18,243.18,242.95,243.0,85,11,0,29,AMGN
30,2022-03-30 16:10:00,243.0,243.3,242.94,243.18,119,10,0,30,AMGN
31,2022-03-30 16:15:00,243.18,243.4,243.12,243.32,93,10,0,31,AMGN
32,2022-03-30 16:20:00,243.31,243.38,243.13,243.19,80,10,0,32,AMGN
33,2022-03-30 16:25:00,243.19,243.26,243.09,243.09,68,10,0,33,AMGN
34,2022-03-30 16:30:00,243.09,243.14,242.94,242.98,83,10,0,34,AMGN
