,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:40:00,80.41,80.48,80.38,80.45,65,5,0,0,ATVI
1,2022-03-30 13:45:00,80.45,80.48,80.39,80.45,80,5,0,1,ATVI
2,2022-03-30 13:50:00,80.46,80.49,80.42,80.43,52,5,0,2,ATVI
3,2022-03-30 13:55:00,80.43,80.51,80.4,80.51,72,5,0,3,ATVI
4,2022-03-30 14:00:00,80.52,80.61,80.49,80.53,90,5,0,4,ATVI
5,2022-03-30 14:05:00,80.54,80.54,80.43,80.47,70,5,0,5,ATVI
6,2022-03-30 14:10:00,80.47,80.55,80.46,80.53,82,5,0,6,ATVI
7,2022-03-30 14:15:00,80.53,80.55,80.46,80.47,53,4,0,7,ATVI
8,2022-03-30 14:20:00,80.46,80.47,80.42,80.47,66,5,0,8,ATVI
9,2022-03-30 14:25:00,80.47,80.54,80.46,80.47,62,4,0,9,ATVI
10,2022-03-30 14:30:00,80.47,80.52,80.44,80.51,67,5,0,10,ATVI
11,2022-03-30 14:35:00,80.51,80.54,80.49,80.51,37,5,0,11,ATVI
12,2022-03-30 14:40:00,80.51,80.52,80.48,80.51,31,5,0,12,ATVI
13,2022-03-30 14:45:00,80.51,80.52,80.39,80.39,36,5,0,13,ATVI
14,2022-03-30 14:50:00,80.4,80.45,80.37,80.41,58,5,0,14,ATVI
15,2022-03-30 14:55:00,80.42,80.43,80.34,80.35,32,5,0,15,ATVI
16,2022-03-30 15:00:00,80.35,80.49,80.35,80.45,65,5,0,16,ATVI
17,2022-03-30 15:05:00,80.45,80.49,80.42,80.49,33,5,0,17,ATVI
18,2022-03-30 15:10:00,80.49,80.49,80.46,80.46,28,5,0,18,ATVI
19,2022-03-30 15:15:00,80.46,80.47,80.43,80.47,20,5,0,19,ATVI
20,2022-03-30 15:20:00,80.47,80.47,80.41,80.42,24,5,0,20,ATVI
21,2022-03-30 15:25:00,80.42,80.42,80.42,80.42,5,5,0,21,ATVI
22,2022-03-30 15:30:00,80.42,80.43,80.41,80.42,9,5,0,22,ATVI
23,2022-03-30 15:35:00,80.42,80.46,80.42,80.46,16,5,0,23,ATVI
24,2022-03-30 15:40:00,80.46,80.46,80.39,80.4,22,5,0,24,ATVI
25,2022-03-30 15:45:00,80.4,80.4,80.38,80.4,11,5,0,25,ATVI
26,2022-03-30 15:50:00,80.4,80.42,80.39,80.41,12,5,0,26,ATVI
27,2022-03-30 15:55:00,80.41,80.45,80.41,80.44,14,5,0,27,ATVI
