,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:40:00,73.63,73.65,73.39,73.4,238,5,0,0,BMY
1,2022-03-30 13:45:00,73.41,73.46,73.28,73.36,243,5,0,1,BMY
2,2022-03-30 13:50:00,73.36,73.52,73.23,73.43,237,5,0,2,BMY
3,2022-03-30 13:55:00,73.41,73.51,73.37,73.4,240,4,0,3,BMY
4,2022-03-30 14:00:00,73.4,73.46,73.34,73.39,151,5,0,4,BMY
5,2022-03-30 14:05:00,73.38,73.47,73.36,73.4,91,5,0,5,BMY
6,2022-03-30 14:10:00,73.4,73.4,73.23,73.24,120,5,0,6,BMY
7,2022-03-30 14:15:00,73.24,73.32,73.23,73.29,102,4,0,7,BMY
8,2022-03-30 14:20:00,73.29,73.38,73.25,73.3,114,5,0,8,BMY
9,2022-03-30 14:25:00,73.3,73.31,73.23,73.29,92,4,0,9,BMY
10,2022-03-30 14:30:00,73.29,73.34,73.27,73.3,77,5,0,10,BMY
11,2022-03-30 14:35:00,73.3,73.38,73.27,73.38,68,4,0,11,BMY
12,2022-03-30 14:40:00,73.38,73.48,73.35,73.42,74,4,0,12,BMY
13,2022-03-30 14:45:00,73.42,73.47,73.4,73.46,86,4,0,13,BMY
14,2022-03-30 14:50:00,73.46,73.53,73.45,73.51,65,5,0,14,BMY
15,2022-03-30 14:55:00,73.51,73.51,73.45,73.49,53,5,0,15,BMY
16,2022-03-30 15:00:00,73.5,73.62,73.48,73.61,62,5,0,16,BMY
17,2022-03-30 15:05:00,73.62,73.64,73.6,73.61,42,5,0,17,BMY
18,2022-03-30 15:10:00,73.61,73.61,73.51,73.58,78,5,0,18,BMY
19,2022-03-30 15:15:00,73.58,73.67,73.4,73.66,134,5,0,19,BMY
20,2022-03-30 15:20:00,73.65,73.65,73.46,73.49,75,5,0,20,BMY
21,2022-03-30 15:25:00,73.49,73.5,73.38,73.39,67,5,0,21,BMY
22,2022-03-30 15:30:00,73.39,73.45,73.38,73.39,31,5,0,22,BMY
23,2022-03-30 15:35:00,73.39,73.45,73.36,73.42,49,5,0,23,BMY
