,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:40:00,127.94,128.31,127.93,128.19,42,15,0,0,EA
1,2022-03-30 13:45:00,128.19,128.23,127.81,127.91,73,14,0,1,EA
2,2022-03-30 13:50:00,127.91,128.02,127.64,127.65,79,11,0,2,EA
3,2022-03-30 13:55:00,127.61,127.75,127.37,127.55,102,9,0,3,EA
4,2022-03-30 14:00:00,127.55,128.18,127.55,128.08,180,8,0,4,EA
5,2022-03-30 14:05:00,128.08,128.1,127.85,127.99,92,8,0,5,EA
6,2022-03-30 14:10:00,127.99,128.27,127.96,128.26,75,7,0,6,EA
7,2022-03-30 14:15:00,128.26,128.3,128.16,128.19,83,7,0,7,EA
8,2022-03-30 14:20:00,128.18,128.3,128.18,128.26,82,6,0,8,EA
9,2022-03-30 14:25:00,128.26,128.43,128.2,128.27,122,6,0,9,EA
10,2022-03-30 14:30:00,128.27,128.29,127.95,128.02,136,7,0,10,EA
11,2022-03-30 14:35:00,128.03,128.58,128.01,128.07,159,7,0,11,EA
12,2022-03-30 14:40:00,128.06,128.11,127.9,127.96,69,8,0,12,EA
13,2022-03-30 14:45:00,127.96,128.09,127.85,127.9,93,8,0,13,EA
14,2022-03-30 14:50:00,127.88,128.03,127.76,127.8,70,7,0,14,EA
15,2022-03-30 14:55:00,127.8,127.88,127.75,127.84,67,7,0,15,EA
16,2022-03-30 15:00:00,127.84,127.95,127.82,127.91,95,6,0,16,EA
17,2022-03-30 15:05:00,127.91,127.97,127.87,127.89,113,6,0,17,EA
18,2022-03-30 15:10:00,127.88,128.09,127.8,128.09,85,6,0,18,EA
19,2022-03-30 15:15:00,128.09,128.09,127.94,128.03,190,6,0,19,EA
20,2022-03-30 15:20:00,128.02,128.25,127.98,128.17,180,6,0,20,EA
21,2022-03-30 15:25:00,128.17,128.25,128.17,128.22,45,6,0,21,EA
22,2022-03-30 15:30:00,128.23,128.39,128.21,128.25,80,6,0,22,EA
23,2022-03-30 15:35:00,128.25,128.35,128.22,128.22,125,6,0,23,EA
24,2022-03-30 15:40:00,128.22,128.27,128.16,128.2,88,6,0,24,EA
25,2022-03-30 15:45:00,128.2,128.26,128.16,128.2,50,5,0,25,EA
26,2022-03-30 15:50:00,128.2,128.36,128.16,128.29,76,5,0,26,EA
27,2022-03-30 15:55:00,128.3,128.47,128.26,128.46,77,5,0,27,EA
28,2022-03-30 16:00:00,128.45,128.63,128.44,128.55,75,5,0,28,EA
29,2022-03-30 16:05:00,128.54,128.54,128.43,128.53,60,5,0,29,EA
30,2022-03-30 16:10:00,128.53,128.76,128.53,128.72,69,5,0,30,EA
31,2022-03-30 16:15:00,128.73,128.73,128.47,128.48,64,6,0,31,EA
32,2022-03-30 16:20:00,128.49,128.58,128.43,128.58,59,6,0,32,EA
33,2022-03-30 16:25:00,128.57,128.64,128.5,128.51,171,5,0,33,EA
34,2022-03-30 16:30:00,128.54,128.54,128.4,128.43,72,6,0,34,EA
35,2022-03-30 16:35:00,128.42,128.51,128.4,128.48,88,6,0,35,EA
36,2022-03-30 16:40:00,128.48,128.55,128.47,128.51,59,6,0,36,EA
37,2022-03-30 16:45:00,128.51,128.54,128.38,128.54,64,6,0,37,EA
38,2022-03-30 16:50:00,128.54,128.61,128.48,128.54,52,6,0,38,EA
39,2022-03-30 16:55:00,128.54,128.67,128.54,128.56,60,6,0,39,EA
40,2022-03-30 17:00:00,128.56,128.61,128.49,128.53,52,6,0,40,EA
41,2022-03-30 17:05:00,128.53,128.67,128.49,128.65,80,6,0,41,EA
42,2022-03-30 17:10:00,128.65,128.87,128.65,128.8,103,6,0,42,EA
43,2022-03-30 17:15:00,128.8,128.83,128.54,128.62,62,6,0,43,EA
44,2022-03-30 17:20:00,128.61,128.62,128.41,128.43,53,6,0,44,EA
45,2022-03-30 17:25:00,128.43,128.46,128.36,128.39,46,6,0,45,EA
46,2022-03-30 17:30:00,128.39,128.44,128.35,128.35,50,6,0,46,EA
47,2022-03-30 17:35:00,128.34,128.39,128.28,128.34,65,6,0,47,EA
48,2022-03-30 17:40:00,128.34,128.35,128.29,128.3,35,6,0,48,EA
49,2022-03-30 17:45:00,128.3,128.35,128.19,128.32,59,5,0,49,EA
50,2022-03-30 17:50:00,128.32,128.33,128.26,128.28,44,5,0,50,EA
51,2022-03-30 17:55:00,128.28,128.28,127.98,128.04,90,5,0,51,EA
52,2022-03-30 18:00:00,128.04,128.1,128.0,128.08,168,5,0,52,EA
53,2022-03-30 18:05:00,128.08,128.23,128.04,128.2,71,5,0,53,EA
54,2022-03-30 18:10:00,128.2,128.2,127.99,128.0,61,5,0,54,EA
55,2022-03-30 18:15:00,127.99,128.0,127.81,127.94,70,5,0,55,EA
56,2022-03-30 18:20:00,127.95,127.96,127.89,127.92,67,5,0,56,EA
57,2022-03-30 18:25:00,127.92,127.98,127.81,127.85,72,5,0,57,EA
58,2022-03-30 18:30:00,127.84,127.96,127.8,127.9,93,5,0,58,EA
59,2022-03-30 18:35:00,127.9,127.9,127.82,127.86,39,5,0,59,EA
60,2022-03-30 18:40:00,127.86,127.86,127.64,127.68,62,5,0,60,EA
61,2022-03-30 18:45:00,127.68,127.7,127.62,127.65,61,5,0,61,EA
62,2022-03-30 18:50:00,127.65,127.71,127.58,127.62,54,5,0,62,EA
63,2022-03-30 18:55:00,127.63,127.7,127.47,127.49,73,5,0,63,EA
64,2022-03-30 19:00:00,127.51,127.53,127.4,127.41,62,5,0,64,EA
65,2022-03-30 19:05:00,127.41,127.46,127.35,127.36,79,5,0,65,EA
66,2022-03-30 19:10:00,127.37,127.45,127.33,127.41,103,5,0,66,EA
67,2022-03-30 19:15:00,127.41,127.43,127.27,127.32,78,5,0,67,EA
68,2022-03-30 19:20:00,127.31,127.31,127.12,127.17,122,5,0,68,EA
69,2022-03-30 19:25:00,127.15,127.36,127.13,127.32,115,5,0,69,EA
70,2022-03-30 19:30:00,127.33,127.41,127.25,127.26,112,5,0,70,EA
71,2022-03-30 19:35:00,127.26,127.46,127.25,127.27,107,6,0,71,EA
72,2022-03-30 19:40:00,127.27,127.43,127.25,127.37,138,6,0,72,EA
73,2022-03-31 13:40:00,126.83,126.85,126.24,126.25,91,10,0,73,EA
74,2022-03-31 13:45:00,126.25,126.37,126.22,126.37,118,7,0,74,EA
75,2022-03-31 13:50:00,126.37,126.39,126.0,126.09,117,7,0,75,EA
76,2022-03-31 13:55:00,126.09,126.35,126.05,126.31,96,7,0,76,EA
77,2022-03-31 14:00:00,126.31,126.32,125.84,125.94,155,6,0,77,EA
78,2022-03-31 14:05:00,125.94,126.12,125.86,125.87,91,6,0,78,EA
79,2022-03-31 14:10:00,125.89,126.06,125.82,126.02,120,7,0,79,EA
80,2022-03-31 14:15:00,126.03,126.14,125.99,126.11,94,7,0,80,EA
81,2022-03-31 14:20:00,126.11,126.16,125.92,126.07,71,7,0,81,EA
82,2022-03-31 14:25:00,126.06,126.27,126.01,126.09,88,6,0,82,EA
83,2022-03-31 14:30:00,126.09,126.44,126.08,126.41,103,6,0,83,EA
84,2022-03-31 14:35:00,126.41,126.79,126.41,126.69,86,6,0,84,EA
85,2022-03-31 14:40:00,126.71,126.97,126.69,126.94,65,6,0,85,EA
86,2022-03-31 14:45:00,126.94,127.09,126.87,126.98,96,7,0,86,EA
87,2022-03-31 14:50:00,126.97,127.07,126.94,127.05,57,7,0,87,EA
88,2022-03-31 14:55:00,127.05,127.35,127.05,127.21,81,7,0,88,EA
89,2022-03-31 15:00:00,127.21,127.34,127.02,127.18,88,7,0,89,EA
90,2022-03-31 15:05:00,127.18,127.53,127.11,127.47,95,7,0,90,EA
91,2022-03-31 15:10:00,127.48,127.75,127.41,127.59,112,7,0,91,EA
