,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:40:00,60.05,60.05,59.87,59.96,166,6,0,0,EBAY
1,2022-03-30 13:45:00,59.96,60.15,59.88,59.98,193,6,0,1,EBAY
2,2022-03-30 13:50:00,59.98,60.03,59.85,59.97,140,6,0,2,EBAY
3,2022-03-30 13:55:00,59.97,60.1,59.88,60.09,133,6,0,3,EBAY
4,2022-03-30 14:00:00,60.1,60.3,60.08,60.08,118,6,0,4,EBAY
5,2022-03-30 14:05:00,60.08,60.08,59.81,59.99,139,6,0,5,EBAY
6,2022-03-30 14:10:00,59.99,60.19,59.89,60.16,131,6,0,6,EBAY
7,2022-03-30 14:15:00,60.16,60.18,59.89,59.96,115,6,0,7,EBAY
8,2022-03-30 14:20:00,59.96,60.04,59.92,59.97,111,6,0,8,EBAY
9,2022-03-30 14:25:00,59.98,60.17,59.96,60.1,113,6,0,9,EBAY
10,2022-03-30 14:30:00,60.1,60.12,59.85,59.85,80,6,0,10,EBAY
11,2022-03-30 14:35:00,59.84,59.98,59.71,59.96,102,6,0,11,EBAY
12,2022-03-30 14:40:00,59.97,60.05,59.95,59.96,66,6,0,12,EBAY
13,2022-03-30 14:45:00,59.96,60.0,59.95,59.96,58,6,0,13,EBAY
14,2022-03-30 14:50:00,59.97,59.97,59.76,59.81,87,6,0,14,EBAY
15,2022-03-30 14:55:00,59.81,59.93,59.78,59.93,41,6,0,15,EBAY
16,2022-03-30 15:00:00,59.93,59.93,59.83,59.89,61,6,0,16,EBAY
17,2022-03-30 15:05:00,59.89,59.91,59.69,59.72,59,6,0,17,EBAY
18,2022-03-30 15:10:00,59.72,59.72,59.56,59.62,58,6,0,18,EBAY
19,2022-03-30 15:15:00,59.62,59.76,59.57,59.7,60,6,0,19,EBAY
20,2022-03-30 15:20:00,59.69,59.73,59.66,59.73,60,6,0,20,EBAY
21,2022-03-30 15:25:00,59.72,59.75,59.66,59.74,38,6,0,21,EBAY
22,2022-03-30 15:30:00,59.75,59.86,59.75,59.83,55,6,0,22,EBAY
23,2022-03-30 15:35:00,59.83,59.91,59.81,59.91,38,6,0,23,EBAY
24,2022-03-30 15:40:00,59.91,59.92,59.84,59.89,38,6,0,24,EBAY
25,2022-03-30 15:45:00,59.89,59.89,59.81,59.81,38,6,0,25,EBAY
26,2022-03-30 15:50:00,59.8,59.83,59.76,59.78,28,6,0,26,EBAY
