,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:40:00,300.75,301.56,300.61,301.31,67,36,0,0,ISRG
1,2022-03-30 13:45:00,301.36,302.11,300.68,301.81,107,37,0,1,ISRG
2,2022-03-30 13:50:00,301.81,301.81,300.68,301.26,171,28,0,2,ISRG
3,2022-03-30 13:55:00,301.22,302.02,300.91,301.85,208,20,0,3,ISRG
4,2022-03-30 14:00:00,301.89,302.56,301.84,302.51,192,18,0,4,ISRG
5,2022-03-30 14:05:00,302.54,302.72,302.27,302.57,193,18,0,5,ISRG
6,2022-03-30 14:10:00,302.59,302.99,302.36,302.98,168,19,0,6,ISRG
7,2022-03-30 14:15:00,302.97,303.29,302.28,302.33,152,18,0,7,ISRG
8,2022-03-30 14:20:00,302.34,302.69,302.31,302.48,146,19,0,8,ISRG
9,2022-03-30 14:25:00,302.49,302.83,302.38,302.63,159,18,0,9,ISRG
10,2022-03-30 14:30:00,302.63,302.91,302.43,302.88,186,18,0,10,ISRG
11,2022-03-30 14:35:00,302.88,303.8,302.67,303.8,169,17,0,11,ISRG
12,2022-03-30 14:40:00,303.8,303.98,303.29,303.45,138,17,0,12,ISRG
13,2022-03-30 14:45:00,303.44,304.17,303.34,303.6,131,21,0,13,ISRG
14,2022-03-30 14:50:00,303.6,304.25,303.45,303.45,123,21,0,14,ISRG
15,2022-03-30 14:55:00,303.49,303.94,302.99,303.52,157,22,0,15,ISRG
16,2022-03-30 15:00:00,303.54,303.87,303.16,303.68,172,23,0,16,ISRG
17,2022-03-30 15:05:00,303.69,303.8,303.23,303.23,176,19,0,17,ISRG
18,2022-03-30 15:10:00,303.22,303.78,302.8,303.67,187,18,0,18,ISRG
19,2022-03-30 15:15:00,303.67,304.08,302.99,303.06,162,19,0,19,ISRG
20,2022-03-30 15:20:00,303.02,304.06,303.01,303.82,155,22,0,20,ISRG
21,2022-03-30 15:25:00,303.82,304.42,303.53,304.25,181,17,0,21,ISRG
22,2022-03-30 15:30:00,304.24,304.93,304.2,304.78,199,19,0,22,ISRG
23,2022-03-30 15:35:00,304.78,305.07,304.04,304.49,221,19,0,23,ISRG
24,2022-03-30 15:40:00,304.49,305.04,304.24,304.78,168,18,0,24,ISRG
25,2022-03-30 15:45:00,304.78,305.03,304.32,304.74,266,16,0,25,ISRG
26,2022-03-30 15:50:00,304.75,305.22,304.71,305.07,121,20,0,26,ISRG
27,2022-03-30 15:55:00,305.07,305.53,304.88,305.12,156,17,0,27,ISRG
28,2022-03-30 16:00:00,305.13,305.78,305.03,305.35,156,20,0,28,ISRG
29,2022-03-30 16:05:00,305.35,305.35,304.73,305.09,116,20,0,29,ISRG
30,2022-03-30 16:10:00,305.09,305.76,305.0,305.65,161,18,0,30,ISRG
31,2022-03-30 16:15:00,305.64,305.65,305.02,305.14,85,20,0,31,ISRG
32,2022-03-30 16:20:00,305.18,305.3,305.06,305.13,102,19,0,32,ISRG
33,2022-03-30 16:25:00,305.1,305.38,304.91,305.35,137,19,0,33,ISRG
34,2022-03-30 16:30:00,305.35,305.68,305.34,305.49,94,21,0,34,ISRG
35,2022-03-30 16:35:00,305.52,306.34,305.52,306.25,103,21,0,35,ISRG
36,2022-03-30 16:40:00,306.21,306.45,305.85,306.14,108,22,0,36,ISRG
37,2022-03-30 16:45:00,306.06,306.06,305.71,305.79,113,21,0,37,ISRG
38,2022-03-30 16:50:00,305.79,306.16,305.63,306.1,90,18,0,38,ISRG
39,2022-03-30 16:55:00,306.09,306.14,305.4,305.41,79,18,0,39,ISRG
40,2022-03-30 17:00:00,305.41,305.52,304.51,304.55,135,19,0,40,ISRG
41,2022-03-30 17:05:00,304.56,304.56,303.61,303.78,102,22,0,41,ISRG
42,2022-03-30 17:10:00,303.79,303.79,303.31,303.53,94,19,0,42,ISRG
43,2022-03-30 17:15:00,303.53,303.65,302.48,302.82,122,19,0,43,ISRG
44,2022-03-30 17:20:00,302.83,303.71,302.64,303.38,98,21,0,44,ISRG
45,2022-03-30 17:25:00,303.38,303.42,303.03,303.23,88,22,0,45,ISRG
46,2022-03-30 17:30:00,303.23,303.9,303.1,303.73,156,21,0,46,ISRG
47,2022-03-30 17:35:00,303.74,303.91,303.02,303.12,101,20,0,47,ISRG
48,2022-03-30 17:40:00,303.12,303.77,303.12,303.54,135,20,0,48,ISRG
49,2022-03-30 17:45:00,303.53,304.04,303.4,303.93,134,18,0,49,ISRG
50,2022-03-30 17:50:00,303.94,304.14,303.84,303.96,127,17,0,50,ISRG
51,2022-03-30 17:55:00,303.96,304.14,303.88,304.0,123,16,0,51,ISRG
52,2022-03-30 18:00:00,304.0,304.51,303.85,304.34,139,16,0,52,ISRG
53,2022-03-30 18:05:00,304.32,304.36,303.77,304.08,142,16,0,53,ISRG
54,2022-03-30 18:10:00,304.09,304.48,303.96,304.31,192,16,0,54,ISRG
55,2022-03-30 18:15:00,304.31,304.48,304.18,304.28,129,16,0,55,ISRG
56,2022-03-30 18:20:00,304.29,304.88,304.25,304.78,124,16,0,56,ISRG
57,2022-03-30 18:25:00,304.78,305.1,304.73,304.95,139,17,0,57,ISRG
58,2022-03-30 18:30:00,304.94,305.26,304.86,304.96,142,16,0,58,ISRG
59,2022-03-30 18:35:00,304.99,305.22,304.88,305.16,110,16,0,59,ISRG
60,2022-03-30 18:40:00,305.17,305.28,304.85,305.01,107,17,0,60,ISRG
61,2022-03-30 18:45:00,305.04,305.15,304.73,304.96,115,18,0,61,ISRG
62,2022-03-30 18:50:00,304.93,304.96,304.58,304.72,136,18,0,62,ISRG
63,2022-03-30 18:55:00,304.73,304.95,304.01,304.14,129,18,0,63,ISRG
64,2022-03-30 19:00:00,304.15,304.15,303.39,303.49,132,18,0,64,ISRG
65,2022-03-30 19:05:00,303.48,303.7,303.28,303.5,117,18,0,65,ISRG
66,2022-03-30 19:10:00,303.5,303.77,303.15,303.64,179,18,0,66,ISRG
67,2022-03-30 19:15:00,303.64,303.64,303.33,303.44,112,16,0,67,ISRG
68,2022-03-30 19:20:00,303.44,303.63,303.16,303.4,136,16,0,68,ISRG
69,2022-03-30 19:25:00,303.4,303.51,303.08,303.31,128,16,0,69,ISRG
70,2022-03-30 19:30:00,303.3,303.7,303.28,303.41,123,17,0,70,ISRG
71,2022-03-30 19:35:00,303.4,304.05,303.39,303.96,138,18,0,71,ISRG
72,2022-03-30 19:40:00,303.93,304.17,303.5,303.5,104,18,0,72,ISRG
73,2022-03-31 13:40:00,303.49,304.02,303.34,303.67,212,21,0,73,ISRG
74,2022-03-31 13:45:00,303.7,303.81,301.79,302.87,243,20,0,74,ISRG
75,2022-03-31 13:50:00,302.79,305.04,302.69,304.99,255,20,0,75,ISRG
76,2022-03-31 13:55:00,304.93,306.82,304.9,306.52,245,19,0,76,ISRG
77,2022-03-31 14:00:00,306.52,306.64,305.17,306.08,261,19,0,77,ISRG
78,2022-03-31 14:05:00,306.2,307.31,306.02,306.76,188,23,0,78,ISRG
