,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:40:00,62.06,62.08,61.88,61.89,140,6,0,0,KO
1,2022-03-30 13:45:00,61.89,61.97,61.76,61.97,169,6,0,1,KO
2,2022-03-30 13:50:00,61.97,62.03,61.9,61.98,150,6,0,2,KO
3,2022-03-30 13:55:00,61.98,62.0,61.89,61.95,103,6,0,3,KO
4,2022-03-30 14:00:00,61.94,61.98,61.9,61.94,69,6,0,4,KO
5,2022-03-30 14:05:00,61.94,62.03,61.89,61.89,81,6,0,5,KO
6,2022-03-30 14:10:00,61.9,61.9,61.72,61.72,79,6,0,6,KO
7,2022-03-30 14:15:00,61.71,61.73,61.67,61.68,68,6,0,7,KO
8,2022-03-30 14:20:00,61.68,61.72,61.58,61.59,56,6,0,8,KO
9,2022-03-30 14:25:00,61.59,61.61,61.53,61.55,69,6,0,9,KO
10,2022-03-30 14:30:00,61.55,61.7,61.53,61.69,86,6,0,10,KO
11,2022-03-30 14:35:00,61.7,61.78,61.63,61.64,86,6,0,11,KO
12,2022-03-30 14:40:00,61.66,61.8,61.65,61.79,64,6,0,12,KO
13,2022-03-30 14:45:00,61.79,61.92,61.79,61.89,63,6,0,13,KO
14,2022-03-30 14:50:00,61.89,61.98,61.86,61.96,63,6,0,14,KO
15,2022-03-30 14:55:00,61.96,62.03,61.96,61.99,49,6,0,15,KO
16,2022-03-30 15:00:00,61.99,62.03,61.95,61.99,42,6,0,16,KO
17,2022-03-30 15:05:00,61.99,62.01,61.92,61.93,43,6,0,17,KO
18,2022-03-30 15:10:00,61.93,61.93,61.83,61.84,36,6,0,18,KO
19,2022-03-30 15:15:00,61.84,61.9,61.8,61.89,39,6,0,19,KO
20,2022-03-30 15:20:00,61.88,61.93,61.86,61.93,40,6,0,20,KO
21,2022-03-30 15:25:00,61.93,62.05,61.93,61.96,38,6,0,21,KO
22,2022-03-30 15:30:00,61.96,61.99,61.93,61.94,41,6,0,22,KO
23,2022-03-30 15:35:00,61.93,61.99,61.92,61.97,34,6,0,23,KO
24,2022-03-30 15:40:00,61.97,61.99,61.93,61.95,28,6,0,24,KO
25,2022-03-30 15:45:00,61.95,62.01,61.91,62.01,31,6,0,25,KO
26,2022-03-30 15:50:00,62.01,62.01,61.92,61.92,24,6,0,26,KO
27,2022-03-30 15:55:00,61.91,61.99,61.88,61.97,37,6,0,27,KO
28,2022-03-30 16:00:00,61.97,61.97,61.89,61.91,41,6,0,28,KO
29,2022-03-30 16:05:00,61.91,61.94,61.87,61.89,30,6,0,29,KO
30,2022-03-30 16:10:00,61.89,61.92,61.85,61.89,42,6,0,30,KO
31,2022-03-30 16:15:00,61.89,61.89,61.79,61.83,38,6,0,31,KO
32,2022-03-30 16:20:00,61.82,61.83,61.78,61.82,28,6,0,32,KO
33,2022-03-30 16:25:00,61.82,61.82,61.71,61.73,29,6,0,33,KO
34,2022-03-30 16:30:00,61.73,61.8,61.71,61.78,40,6,0,34,KO
35,2022-03-30 16:35:00,61.78,61.79,61.71,61.71,28,6,0,35,KO
36,2022-03-30 16:40:00,61.71,61.77,61.67,61.74,35,6,0,36,KO
37,2022-03-30 16:45:00,61.74,61.78,61.72,61.73,30,6,0,37,KO
38,2022-03-30 16:50:00,61.73,61.78,61.71,61.72,25,6,0,38,KO
39,2022-03-30 16:55:00,61.72,61.72,61.65,61.69,28,6,0,39,KO
40,2022-03-30 17:00:00,61.69,61.69,61.65,61.68,26,6,0,40,KO
