,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:25:00,312.8,313.35,312.79,313.35,36,40,0,0,MSFT
1,2022-03-30 13:30:00,313.45,314.87,313.15,314.85,899,8,0,1,MSFT
2,2022-03-30 13:35:00,314.87,314.87,312.93,313.51,1286,8,0,2,MSFT
3,2022-03-30 13:40:00,313.52,313.85,312.81,313.85,901,8,0,3,MSFT
4,2022-03-30 13:45:00,313.86,313.95,312.8,313.7,865,8,0,4,MSFT
5,2022-03-30 13:50:00,313.72,314.04,312.87,313.31,948,8,0,5,MSFT
6,2022-03-30 13:55:00,313.29,313.35,312.78,312.86,957,8,0,6,MSFT
7,2022-03-30 14:00:00,312.88,313.03,312.31,312.6,795,8,0,7,MSFT
8,2022-03-30 14:05:00,312.62,312.82,312.14,312.29,679,8,0,8,MSFT
9,2022-03-30 14:10:00,312.31,313.75,312.23,313.75,833,8,0,9,MSFT
10,2022-03-30 14:15:00,313.77,314.04,312.99,313.04,925,8,0,10,MSFT
11,2022-03-30 14:20:00,313.02,313.4,312.76,313.4,831,8,0,11,MSFT
12,2022-03-30 14:25:00,313.42,313.7,313.04,313.14,884,8,0,12,MSFT
13,2022-03-30 14:30:00,313.16,313.27,312.73,312.98,767,8,0,13,MSFT
14,2022-03-30 14:35:00,313.0,313.62,312.86,313.59,672,8,0,14,MSFT
15,2022-03-30 14:40:00,313.57,313.68,313.14,313.22,629,8,0,15,MSFT
16,2022-03-30 14:45:00,313.21,313.52,313.01,313.2,624,8,0,16,MSFT
17,2022-03-30 14:50:00,313.21,313.38,312.63,312.72,498,8,0,17,MSFT
18,2022-03-30 14:55:00,312.74,312.77,312.44,312.52,468,8,0,18,MSFT
19,2022-03-30 15:00:00,312.54,312.64,311.98,312.18,501,8,0,19,MSFT
20,2022-03-30 15:05:00,312.2,312.27,311.63,311.88,454,8,0,20,MSFT
21,2022-03-30 15:10:00,311.89,312.02,311.51,311.76,513,8,0,21,MSFT
22,2022-03-30 15:15:00,311.75,311.96,311.72,311.85,367,8,0,22,MSFT
23,2022-03-30 15:20:00,311.86,312.1,311.55,311.93,376,8,0,23,MSFT
24,2022-03-30 15:25:00,311.92,312.03,311.73,311.91,376,8,0,24,MSFT
25,2022-03-30 15:30:00,311.93,312.59,311.77,312.58,457,8,0,25,MSFT
26,2022-03-30 15:35:00,312.56,312.74,312.37,312.63,433,8,0,26,MSFT
27,2022-03-30 15:40:00,312.64,312.66,312.28,312.44,379,8,0,27,MSFT
28,2022-03-30 15:45:00,312.43,312.77,312.42,312.65,343,8,0,28,MSFT
29,2022-03-30 15:50:00,312.64,313.26,312.56,313.25,341,8,0,29,MSFT
30,2022-03-30 15:55:00,313.25,313.6,313.22,313.59,346,8,0,30,MSFT
31,2022-03-30 16:00:00,313.6,314.2,313.53,313.86,428,8,0,31,MSFT
32,2022-03-30 16:05:00,313.86,313.86,313.33,313.6,434,8,0,32,MSFT
33,2022-03-30 16:10:00,313.59,313.76,313.29,313.71,391,8,0,33,MSFT
34,2022-03-30 16:15:00,313.73,314.17,313.64,314.16,338,8,0,34,MSFT
