,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:25:00,282.35,282.75,281.97,282.75,101,40,0,0,NVDA
1,2022-03-30 13:30:00,282.86,284.44,281.14,284.44,1178,18,0,1,NVDA
2,2022-03-30 13:35:00,284.36,284.36,280.45,281.07,1039,18,0,2,NVDA
3,2022-03-30 13:40:00,281.0,281.71,280.23,281.16,800,18,0,3,NVDA
4,2022-03-30 13:45:00,281.12,282.09,280.09,280.7,814,18,0,4,NVDA
5,2022-03-30 13:50:00,280.64,281.01,279.48,280.24,1091,18,0,5,NVDA
6,2022-03-30 13:55:00,280.18,281.35,280.04,281.24,762,18,0,6,NVDA
7,2022-03-30 14:00:00,281.27,282.02,280.39,280.85,770,18,0,7,NVDA
8,2022-03-30 14:05:00,280.89,281.1,279.49,280.01,622,18,0,8,NVDA
9,2022-03-30 14:10:00,279.99,282.26,279.99,282.26,715,18,0,9,NVDA
10,2022-03-30 14:15:00,282.26,283.69,282.1,282.5,695,18,0,10,NVDA
11,2022-03-30 14:20:00,282.5,284.13,282.45,283.77,588,18,0,11,NVDA
12,2022-03-30 14:25:00,283.74,284.35,283.14,283.68,542,18,0,12,NVDA
13,2022-03-30 14:30:00,283.71,283.89,282.78,283.83,547,18,0,13,NVDA
14,2022-03-30 14:35:00,283.79,284.84,283.48,284.19,524,18,0,14,NVDA
15,2022-03-30 14:40:00,284.15,284.37,283.36,283.39,405,18,0,15,NVDA
16,2022-03-30 14:45:00,283.37,284.06,283.2,283.2,386,18,0,16,NVDA
17,2022-03-30 14:50:00,283.19,283.42,281.83,282.01,421,18,0,17,NVDA
18,2022-03-30 14:55:00,282.01,282.09,280.53,280.68,417,18,0,18,NVDA
19,2022-03-30 15:00:00,280.68,280.77,279.44,279.75,499,18,0,19,NVDA
20,2022-03-30 15:05:00,279.75,280.13,278.7,278.98,499,18,0,20,NVDA
21,2022-03-30 15:10:00,278.97,280.29,278.52,280.15,433,18,0,21,NVDA
22,2022-03-30 15:15:00,280.12,280.56,279.81,280.38,396,18,0,22,NVDA
23,2022-03-30 15:20:00,280.41,280.56,279.28,279.38,360,18,0,23,NVDA
24,2022-03-30 15:25:00,279.33,279.45,277.85,278.77,392,18,0,24,NVDA
25,2022-03-30 15:30:00,278.82,280.72,278.61,280.7,440,10,0,25,NVDA
26,2022-03-30 15:35:00,280.72,281.25,280.5,280.73,402,10,0,26,NVDA
27,2022-03-30 15:40:00,280.7,280.86,280.05,280.5,345,18,0,27,NVDA
28,2022-03-30 15:45:00,280.49,281.02,279.97,280.12,307,18,0,28,NVDA
29,2022-03-30 15:50:00,280.12,280.13,279.59,279.78,314,18,0,29,NVDA
30,2022-03-30 15:55:00,279.78,280.16,279.6,280.03,266,18,0,30,NVDA
31,2022-03-30 16:00:00,280.0,280.97,279.84,280.75,320,18,0,31,NVDA
32,2022-03-30 16:05:00,280.74,280.74,279.5,280.16,324,18,0,32,NVDA
33,2022-03-30 16:10:00,280.1,280.33,279.24,279.71,272,18,0,33,NVDA
34,2022-03-30 16:15:00,279.71,280.24,279.52,280.05,253,18,0,34,NVDA
35,2022-03-30 16:20:00,280.1,280.42,279.73,279.97,277,18,0,35,NVDA
36,2022-03-30 16:25:00,280.0,280.44,279.93,280.2,241,18,0,36,NVDA
37,2022-03-30 16:30:00,280.18,280.96,279.9,280.96,259,18,0,37,NVDA
38,2022-03-30 16:35:00,280.96,281.27,280.74,281.15,222,18,0,38,NVDA
39,2022-03-30 16:40:00,281.18,281.6,280.69,281.43,265,18,0,39,NVDA
40,2022-03-30 16:45:00,281.46,282.82,281.37,282.47,389,10,0,40,NVDA
41,2022-03-30 16:50:00,282.46,282.54,281.81,281.95,308,10,0,41,NVDA
42,2022-03-30 16:55:00,281.98,282.22,281.88,282.15,227,18,0,42,NVDA
43,2022-03-30 17:00:00,282.18,282.44,281.88,282.08,302,18,0,43,NVDA
44,2022-03-30 17:05:00,282.07,282.14,281.44,281.6,252,18,0,44,NVDA
45,2022-03-30 17:10:00,281.65,282.06,281.32,282.06,263,18,0,45,NVDA
46,2022-03-30 17:15:00,282.04,282.05,280.7,280.8,296,18,0,46,NVDA
47,2022-03-30 17:20:00,280.77,280.8,280.14,280.37,277,18,0,47,NVDA
48,2022-03-30 17:25:00,280.38,280.48,279.94,280.3,250,18,0,48,NVDA
49,2022-03-30 17:30:00,280.31,280.82,280.21,280.61,264,18,0,49,NVDA
50,2022-03-30 17:35:00,280.6,280.75,279.78,279.82,304,18,0,50,NVDA
51,2022-03-30 17:40:00,279.79,280.16,279.59,279.87,258,18,0,51,NVDA
52,2022-03-30 17:45:00,279.87,280.18,279.66,279.9,276,18,0,52,NVDA
53,2022-03-30 17:50:00,279.87,280.0,279.31,279.55,276,18,0,53,NVDA
54,2022-03-30 17:55:00,279.52,279.87,278.77,278.91,296,18,0,54,NVDA
55,2022-03-30 18:00:00,278.93,279.47,278.31,278.98,373,18,0,55,NVDA
56,2022-03-30 18:05:00,278.95,279.08,278.29,278.68,327,18,0,56,NVDA
57,2022-03-30 18:10:00,278.65,278.79,278.22,278.69,254,18,0,57,NVDA
58,2022-03-30 18:15:00,278.69,278.69,277.75,278.07,289,18,0,58,NVDA
59,2022-03-30 18:20:00,278.11,278.44,277.68,278.05,303,18,0,59,NVDA
60,2022-03-30 18:25:00,278.06,278.32,277.65,278.13,357,18,0,60,NVDA
61,2022-03-30 18:30:00,278.1,279.42,277.89,279.26,290,18,0,61,NVDA
62,2022-03-30 18:35:00,279.25,279.88,279.18,279.51,261,18,0,62,NVDA
