,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:25:00,52.78,53.1,52.73,53.1,44,8,0,0,PFE
1,2022-03-30 13:30:00,53.04,53.68,52.95,53.57,500,6,0,1,PFE
2,2022-03-30 13:35:00,53.57,53.69,53.42,53.59,383,6,0,2,PFE
3,2022-03-30 13:40:00,53.59,53.59,53.28,53.36,252,6,0,3,PFE
4,2022-03-30 13:45:00,53.36,53.36,52.85,52.91,201,6,0,4,PFE
5,2022-03-30 13:50:00,52.92,53.12,52.74,52.98,224,6,0,5,PFE
6,2022-03-30 13:55:00,52.98,53.01,52.82,52.92,162,6,0,6,PFE
7,2022-03-30 14:00:00,52.91,52.98,52.84,52.92,134,6,0,7,PFE
8,2022-03-30 14:05:00,52.92,52.92,52.68,52.75,135,6,0,8,PFE
9,2022-03-30 14:10:00,52.74,52.74,52.54,52.56,128,6,0,9,PFE
10,2022-03-30 14:15:00,52.56,52.7,52.56,52.67,114,6,0,10,PFE
11,2022-03-30 14:20:00,52.66,52.69,52.47,52.56,106,6,0,11,PFE
12,2022-03-30 14:25:00,52.57,52.57,52.48,52.55,73,6,0,12,PFE
13,2022-03-30 14:30:00,52.54,52.63,52.52,52.55,88,6,0,13,PFE
14,2022-03-30 14:35:00,52.55,52.57,52.48,52.54,59,6,0,14,PFE
15,2022-03-30 14:40:00,52.54,52.56,52.5,52.52,63,6,0,15,PFE
16,2022-03-30 14:45:00,52.51,52.6,52.5,52.59,52,6,0,16,PFE
17,2022-03-30 14:50:00,52.58,52.63,52.56,52.61,37,6,0,17,PFE
18,2022-03-30 14:55:00,52.61,52.73,52.58,52.73,50,6,0,18,PFE
19,2022-03-30 15:00:00,52.74,52.76,52.68,52.74,74,6,0,19,PFE
20,2022-03-30 15:05:00,52.74,52.75,52.56,52.56,87,6,0,20,PFE
21,2022-03-30 15:10:00,52.56,52.58,52.5,52.51,66,6,0,21,PFE
22,2022-03-30 15:15:00,52.51,52.72,52.5,52.71,82,6,0,22,PFE
23,2022-03-30 15:20:00,52.71,52.72,52.61,52.64,56,6,0,23,PFE
24,2022-03-30 15:25:00,52.64,52.68,52.62,52.65,40,6,0,24,PFE
25,2022-03-30 15:30:00,52.66,52.66,52.62,52.66,19,6,0,25,PFE
26,2022-03-30 15:35:00,52.65,52.66,52.56,52.58,36,6,0,26,PFE
27,2022-03-30 15:40:00,52.58,52.63,52.57,52.62,23,6,0,27,PFE
28,2022-03-30 15:45:00,52.62,52.73,52.6,52.73,41,6,0,28,PFE
29,2022-03-30 15:50:00,52.73,52.79,52.7,52.7,41,6,0,29,PFE
30,2022-03-30 15:55:00,52.7,52.72,52.64,52.68,32,6,0,30,PFE
31,2022-03-30 16:00:00,52.68,52.76,52.67,52.7,32,6,0,31,PFE
32,2022-03-30 16:05:00,52.7,52.72,52.65,52.66,27,6,0,32,PFE
33,2022-03-30 16:10:00,52.67,52.69,52.63,52.66,38,6,0,33,PFE
34,2022-03-30 16:15:00,52.66,52.72,52.64,52.67,34,6,0,34,PFE
35,2022-03-30 16:20:00,52.67,52.67,52.61,52.62,21,6,0,35,PFE
36,2022-03-30 16:25:00,52.62,52.62,52.54,52.55,30,6,0,36,PFE
37,2022-03-30 16:30:00,52.55,52.57,52.53,52.56,17,6,0,37,PFE
38,2022-03-30 16:35:00,52.56,52.56,52.52,52.52,18,6,0,38,PFE
39,2022-03-30 16:40:00,52.52,52.52,52.35,52.4,52,6,0,39,PFE
40,2022-03-30 16:45:00,52.4,52.43,52.32,52.35,47,6,0,40,PFE
41,2022-03-30 16:50:00,52.35,52.35,52.27,52.28,35,6,0,41,PFE
42,2022-03-30 16:55:00,52.28,52.32,52.26,52.31,20,6,0,42,PFE
43,2022-03-30 17:00:00,52.31,52.32,52.21,52.22,36,6,0,43,PFE
44,2022-03-30 17:05:00,52.22,52.22,52.14,52.18,38,6,0,44,PFE
45,2022-03-30 17:10:00,52.18,52.18,52.12,52.15,46,6,0,45,PFE
46,2022-03-30 17:15:00,52.15,52.23,52.14,52.18,54,6,0,46,PFE
47,2022-03-30 17:20:00,52.18,52.22,52.17,52.18,26,6,0,47,PFE
48,2022-03-30 17:25:00,52.18,52.2,52.17,52.19,27,6,0,48,PFE
49,2022-03-30 17:30:00,52.19,52.19,52.11,52.11,35,6,0,49,PFE
50,2022-03-30 17:35:00,52.11,52.19,52.11,52.19,27,6,0,50,PFE
51,2022-03-30 17:40:00,52.19,52.25,52.17,52.25,37,6,0,51,PFE
52,2022-03-30 17:45:00,52.26,52.3,52.21,52.22,44,6,0,52,PFE
53,2022-03-30 17:50:00,52.22,52.29,52.21,52.28,46,6,0,53,PFE
54,2022-03-30 17:55:00,52.28,52.28,52.15,52.18,53,6,0,54,PFE
55,2022-03-30 18:00:00,52.17,52.23,52.17,52.23,42,6,0,55,PFE
56,2022-03-30 18:05:00,52.23,52.23,52.19,52.21,26,6,0,56,PFE
57,2022-03-30 18:10:00,52.21,52.22,52.18,52.2,28,6,0,57,PFE
58,2022-03-30 18:15:00,52.2,52.23,52.16,52.19,37,6,0,58,PFE
59,2022-03-30 18:20:00,52.19,52.21,52.16,52.2,36,6,0,59,PFE
60,2022-03-30 18:25:00,52.2,52.2,52.05,52.09,55,6,0,60,PFE
61,2022-03-30 18:30:00,52.09,52.13,52.07,52.12,35,6,0,61,PFE
62,2022-03-30 18:35:00,52.12,52.12,52.04,52.04,29,6,0,62,PFE
63,2022-03-30 18:40:00,52.04,52.07,51.98,52.03,40,6,0,63,PFE
64,2022-03-30 18:45:00,52.03,52.04,52.0,52.03,21,6,0,64,PFE
65,2022-03-30 18:50:00,52.03,52.12,52.03,52.12,44,6,0,65,PFE
66,2022-03-30 18:55:00,52.12,52.13,52.07,52.1,35,6,0,66,PFE
67,2022-03-30 19:00:00,52.1,52.14,52.1,52.11,26,6,0,67,PFE
68,2022-03-30 19:05:00,52.11,52.13,52.01,52.03,39,6,0,68,PFE
69,2022-03-30 19:10:00,52.03,52.05,51.99,52.02,27,6,0,69,PFE
70,2022-03-30 19:15:00,52.02,52.02,51.95,52.01,34,6,0,70,PFE
71,2022-03-30 19:20:00,52.01,52.03,51.95,51.97,35,6,0,71,PFE
72,2022-03-30 19:25:00,51.97,52.14,51.97,52.14,42,6,0,72,PFE
73,2022-03-30 19:30:00,52.14,52.2,52.12,52.16,37,6,0,73,PFE
74,2022-03-30 19:35:00,52.16,52.29,52.16,52.24,48,6,0,74,PFE
75,2022-03-30 19:40:00,52.24,52.25,52.18,52.21,45,6,0,75,PFE
76,2022-03-31 10:05:00,52.36,52.37,52.3,52.32,12,6,0,76,PFE
77,2022-03-31 10:10:00,52.33,52.34,52.29,52.29,11,6,0,77,PFE
78,2022-03-31 10:15:00,52.29,52.33,52.27,52.29,29,6,0,78,PFE
79,2022-03-31 10:20:00,52.3,52.39,52.25,52.33,48,6,0,79,PFE
80,2022-03-31 10:25:00,52.33,52.4,52.24,52.3,26,8,0,80,PFE
81,2022-03-31 10:30:00,52.31,52.39,52.28,52.29,81,8,0,81,PFE
82,2022-03-31 10:35:00,52.3,52.39,52.23,52.24,48,8,0,82,PFE
83,2022-03-31 10:40:00,52.24,52.33,52.19,52.19,7,20,0,83,PFE
84,2022-03-31 10:45:00,52.23,52.25,52.19,52.25,5,20,0,84,PFE
85,2022-03-31 10:50:00,52.25,52.33,52.23,52.24,39,20,0,85,PFE
86,2022-03-31 10:55:00,52.25,52.33,52.24,52.24,20,20,0,86,PFE
87,2022-03-31 11:00:00,52.22,52.22,52.21,52.21,6,20,0,87,PFE
88,2022-03-31 11:05:00,52.21,52.21,52.21,52.21,4,20,0,88,PFE
89,2022-03-31 11:10:00,52.21,52.21,52.14,52.14,6,20,0,89,PFE
90,2022-03-31 11:15:00,52.14,52.19,52.14,52.19,5,20,0,90,PFE
91,2022-03-31 11:20:00,52.19,52.19,52.19,52.19,1,20,0,91,PFE
92,2022-03-31 11:25:00,52.18,52.18,52.16,52.16,2,20,0,92,PFE
93,2022-03-31 11:30:00,52.19,52.2,52.19,52.2,4,20,0,93,PFE
94,2022-03-31 11:35:00,52.21,52.21,52.2,52.2,4,20,0,94,PFE
95,2022-03-31 11:40:00,52.2,52.22,52.2,52.22,5,20,0,95,PFE
96,2022-03-31 11:45:00,52.22,52.22,52.22,52.22,2,20,0,96,PFE
97,2022-03-31 11:50:00,52.22,52.22,52.22,52.22,1,20,0,97,PFE
98,2022-03-31 11:55:00,52.22,52.22,52.19,52.2,6,20,0,98,PFE
99,2022-03-31 12:00:00,52.17,52.17,52.17,52.17,2,20,0,99,PFE
100,2022-03-31 12:05:00,52.19,52.19,52.17,52.19,5,20,0,100,PFE
101,2022-03-31 12:10:00,52.19,52.19,52.19,52.19,3,20,0,101,PFE
102,2022-03-31 12:15:00,52.19,52.19,52.19,52.19,2,20,0,102,PFE
103,2022-03-31 12:20:00,52.19,52.19,52.17,52.18,5,20,0,103,PFE
104,2022-03-31 12:25:00,52.19,52.19,52.19,52.19,2,20,0,104,PFE
105,2022-03-31 12:30:00,52.19,52.3,52.18,52.27,8,20,0,105,PFE
106,2022-03-31 12:35:00,52.2,52.31,52.2,52.31,4,20,0,106,PFE
107,2022-03-31 12:40:00,52.32,52.32,52.32,52.32,1,20,0,107,PFE
108,2022-03-31 12:45:00,52.32,52.33,52.32,52.33,4,20,0,108,PFE
109,2022-03-31 12:50:00,52.32,52.32,52.22,52.25,8,20,0,109,PFE
110,2022-03-31 12:55:00,52.25,52.25,52.25,52.25,2,20,0,110,PFE
111,2022-03-31 13:00:00,52.28,52.37,52.28,52.34,5,20,0,111,PFE
112,2022-03-31 13:05:00,52.3,52.33,52.24,52.24,5,20,0,112,PFE
113,2022-03-31 13:10:00,52.24,52.28,52.17,52.28,13,20,0,113,PFE
114,2022-03-31 13:15:00,52.29,52.29,52.28,52.28,2,20,0,114,PFE
115,2022-03-31 13:20:00,52.25,52.3,52.23,52.29,10,20,0,115,PFE
116,2022-03-31 13:25:00,52.28,52.29,51.7,51.81,34,20,0,116,PFE
117,2022-03-31 13:30:00,51.82,52.45,51.82,52.34,211,8,0,117,PFE
118,2022-03-31 13:35:00,52.36,52.58,52.26,52.52,226,6,0,118,PFE
119,2022-03-31 13:40:00,52.5,52.71,52.42,52.43,144,6,0,119,PFE
120,2022-03-31 13:45:00,52.43,52.51,52.31,52.44,150,6,0,120,PFE
121,2022-03-31 13:50:00,52.43,52.43,52.2,52.33,102,6,0,121,PFE
122,2022-03-31 13:55:00,52.34,52.56,52.34,52.54,102,6,0,122,PFE
123,2022-03-31 14:00:00,52.54,52.69,52.54,52.61,114,6,0,123,PFE
124,2022-03-31 14:05:00,52.61,52.84,52.61,52.7,129,6,0,124,PFE
125,2022-03-31 14:10:00,52.7,52.75,52.63,52.67,101,6,0,125,PFE
126,2022-03-31 14:15:00,52.67,52.69,52.5,52.53,66,6,0,126,PFE
127,2022-03-31 14:20:00,52.53,52.64,52.5,52.52,88,6,0,127,PFE
128,2022-03-31 14:25:00,52.52,52.71,52.52,52.67,66,6,0,128,PFE
129,2022-03-31 14:30:00,52.67,52.68,52.42,52.48,93,6,0,129,PFE
130,2022-03-31 14:35:00,52.48,52.53,52.28,52.29,71,6,0,130,PFE
131,2022-03-31 14:40:00,52.29,52.33,52.23,52.3,59,6,0,131,PFE
132,2022-03-31 14:45:00,52.3,52.3,52.16,52.19,76,6,0,132,PFE
133,2022-03-31 14:50:00,52.2,52.2,52.13,52.18,68,6,0,133,PFE
134,2022-03-31 14:55:00,52.18,52.31,52.18,52.31,48,6,0,134,PFE
135,2022-03-31 15:00:00,52.3,52.34,52.22,52.25,52,6,0,135,PFE
136,2022-03-31 15:05:00,52.25,52.29,52.2,52.26,58,6,0,136,PFE
137,2022-03-31 15:10:00,52.26,52.32,52.26,52.29,37,6,0,137,PFE
138,2022-03-31 15:15:00,52.29,52.3,52.22,52.26,40,6,0,138,PFE
139,2022-03-31 15:20:00,52.26,52.28,52.2,52.24,37,6,0,139,PFE
140,2022-03-31 15:25:00,52.24,52.25,52.12,52.18,47,6,0,140,PFE
141,2022-03-31 15:30:00,52.18,52.29,52.18,52.29,42,6,0,141,PFE
142,2022-03-31 15:35:00,52.29,52.29,52.14,52.17,36,6,0,142,PFE
143,2022-03-31 15:40:00,52.17,52.3,52.14,52.29,37,6,0,143,PFE
144,2022-03-31 15:45:00,52.29,52.35,52.29,52.32,35,6,0,144,PFE
145,2022-03-31 15:50:00,52.32,52.36,52.29,52.29,23,6,0,145,PFE
146,2022-03-31 15:55:00,52.29,52.35,52.27,52.32,27,6,0,146,PFE
147,2022-03-31 16:00:00,52.32,52.32,52.21,52.21,34,6,0,147,PFE
148,2022-03-31 16:05:00,52.21,52.24,52.21,52.23,23,6,0,148,PFE
149,2022-03-31 16:10:00,52.23,52.23,52.12,52.15,49,6,0,149,PFE
150,2022-03-31 16:15:00,52.15,52.22,52.14,52.14,32,6,0,150,PFE
151,2022-03-31 16:20:00,52.14,52.17,52.04,52.06,42,6,0,151,PFE
152,2022-03-31 16:25:00,52.06,52.12,52.04,52.12,33,6,0,152,PFE
