,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:40:00,93.38,93.38,92.95,92.97,80,13,0,0,PM
1,2022-03-30 13:45:00,92.97,93.44,92.97,93.4,113,10,0,1,PM
2,2022-03-30 13:50:00,93.42,93.55,93.33,93.5,108,9,0,2,PM
3,2022-03-30 13:55:00,93.48,93.5,93.34,93.45,109,8,0,3,PM
4,2022-03-30 14:00:00,93.46,93.54,93.4,93.44,138,8,0,4,PM
5,2022-03-30 14:05:00,93.44,93.44,93.02,93.02,145,7,0,5,PM
6,2022-03-30 14:10:00,93.02,93.12,92.89,93.04,122,7,0,6,PM
7,2022-03-30 14:15:00,93.05,93.05,92.9,92.95,89,7,0,7,PM
8,2022-03-30 14:20:00,92.96,93.09,92.81,92.91,99,7,0,8,PM
9,2022-03-30 14:25:00,92.91,92.94,92.76,92.82,70,7,0,9,PM
10,2022-03-30 14:30:00,92.82,92.99,92.78,92.92,105,7,0,10,PM
11,2022-03-30 14:35:00,92.9,92.93,92.77,92.8,100,7,0,11,PM
12,2022-03-30 14:40:00,92.8,93.07,92.8,93.02,98,7,0,12,PM
13,2022-03-30 14:45:00,93.03,93.26,93.03,93.26,72,7,0,13,PM
14,2022-03-30 14:50:00,93.26,93.31,93.15,93.15,94,7,0,14,PM
15,2022-03-30 14:55:00,93.15,93.21,93.07,93.2,65,7,0,15,PM
16,2022-03-30 15:00:00,93.2,93.26,93.15,93.18,60,7,0,16,PM
17,2022-03-30 15:05:00,93.18,93.19,93.09,93.1,66,7,0,17,PM
18,2022-03-30 15:10:00,93.1,93.11,92.97,93.05,67,6,0,18,PM
19,2022-03-30 15:15:00,93.04,93.21,93.03,93.21,85,6,0,19,PM
20,2022-03-30 15:20:00,93.2,93.26,93.14,93.21,55,7,0,20,PM
21,2022-03-30 15:25:00,93.22,93.26,93.16,93.17,43,6,0,21,PM
22,2022-03-30 15:30:00,93.17,93.17,92.99,93.09,61,6,0,22,PM
23,2022-03-30 15:35:00,93.1,93.19,93.08,93.15,66,6,0,23,PM
24,2022-03-30 15:40:00,93.14,93.22,93.1,93.12,68,6,0,24,PM
25,2022-03-30 15:45:00,93.12,93.15,93.06,93.14,48,6,0,25,PM
26,2022-03-30 15:50:00,93.14,93.14,93.01,93.02,39,6,0,26,PM
27,2022-03-30 15:55:00,93.02,93.15,92.97,93.09,74,6,0,27,PM
28,2022-03-30 16:00:00,93.09,93.16,93.08,93.11,73,6,0,28,PM
29,2022-03-30 16:05:00,93.12,93.14,93.0,93.13,66,6,0,29,PM
30,2022-03-30 16:10:00,93.13,93.18,93.08,93.16,57,7,0,30,PM
31,2022-03-30 16:15:00,93.17,93.26,93.14,93.24,63,6,0,31,PM
32,2022-03-30 16:20:00,93.24,93.25,93.16,93.16,41,6,0,32,PM
33,2022-03-30 16:25:00,93.15,93.25,93.14,93.25,34,6,0,33,PM
34,2022-03-30 16:30:00,93.24,93.29,93.21,93.22,46,6,0,34,PM
35,2022-03-30 16:35:00,93.22,93.24,93.2,93.23,38,6,0,35,PM
36,2022-03-30 16:40:00,93.24,93.26,93.19,93.25,40,6,0,36,PM
37,2022-03-30 16:45:00,93.24,93.3,93.21,93.22,41,6,0,37,PM
38,2022-03-30 16:50:00,93.22,93.26,93.2,93.23,45,6,0,38,PM
39,2022-03-30 16:55:00,93.23,93.25,93.2,93.23,39,6,0,39,PM
40,2022-03-30 17:00:00,93.23,93.26,93.19,93.23,39,6,0,40,PM
41,2022-03-30 17:05:00,93.23,93.26,93.2,93.22,40,6,0,41,PM
42,2022-03-30 17:10:00,93.22,93.27,93.2,93.26,48,6,0,42,PM
43,2022-03-30 17:15:00,93.26,93.26,93.21,93.24,37,6,0,43,PM
44,2022-03-30 17:20:00,93.24,93.27,93.2,93.22,49,5,0,44,PM
45,2022-03-30 17:25:00,93.22,93.24,93.18,93.22,53,6,0,45,PM
46,2022-03-30 17:30:00,93.22,93.25,93.17,93.19,46,6,0,46,PM
47,2022-03-30 17:35:00,93.19,93.26,93.17,93.2,67,6,0,47,PM
48,2022-03-30 17:40:00,93.2,93.26,93.17,93.24,50,6,0,48,PM
49,2022-03-30 17:45:00,93.25,93.32,93.22,93.24,48,6,0,49,PM
50,2022-03-30 17:50:00,93.24,93.33,93.24,93.29,41,6,0,50,PM
51,2022-03-30 17:55:00,93.28,93.29,93.21,93.25,45,6,0,51,PM
52,2022-03-30 18:00:00,93.26,93.4,93.25,93.39,72,6,0,52,PM
53,2022-03-30 18:05:00,93.39,93.4,93.32,93.38,55,6,0,53,PM
54,2022-03-30 18:10:00,93.38,93.53,93.38,93.47,58,6,0,54,PM
55,2022-03-30 18:15:00,93.47,93.56,93.44,93.54,38,6,0,55,PM
56,2022-03-30 18:20:00,93.54,93.54,93.45,93.49,51,6,0,56,PM
57,2022-03-30 18:25:00,93.49,93.55,93.46,93.49,52,6,0,57,PM
58,2022-03-30 18:30:00,93.49,93.53,93.44,93.47,73,6,0,58,PM
59,2022-03-30 18:35:00,93.48,93.5,93.39,93.41,56,6,0,59,PM
60,2022-03-30 18:40:00,93.41,93.41,93.22,93.22,51,7,0,60,PM
61,2022-03-30 18:45:00,93.23,93.31,93.2,93.3,44,7,0,61,PM
62,2022-03-30 18:50:00,93.31,93.35,93.3,93.34,34,7,0,62,PM
63,2022-03-30 18:55:00,93.34,93.38,93.24,93.31,72,6,0,63,PM
64,2022-03-30 19:00:00,93.31,93.41,93.27,93.4,44,7,0,64,PM
65,2022-03-30 19:05:00,93.4,93.48,93.37,93.45,55,7,0,65,PM
66,2022-03-30 19:10:00,93.46,93.46,93.35,93.39,59,6,0,66,PM
67,2022-03-30 19:15:00,93.39,93.47,93.26,93.31,83,6,0,67,PM
68,2022-03-30 19:20:00,93.32,93.39,93.28,93.35,85,6,0,68,PM
69,2022-03-30 19:25:00,93.35,93.45,93.34,93.39,64,6,0,69,PM
70,2022-03-30 19:30:00,93.4,93.54,93.38,93.52,95,6,0,70,PM
71,2022-03-30 19:35:00,93.52,93.64,93.52,93.58,75,6,0,71,PM
72,2022-03-30 19:40:00,93.58,93.69,93.51,93.68,75,6,0,72,PM
73,2022-03-31 13:40:00,93.57,93.79,93.5,93.76,88,9,0,73,PM
74,2022-03-31 13:45:00,93.74,93.94,93.68,93.89,89,9,0,74,PM
75,2022-03-31 13:50:00,93.89,94.04,93.83,93.84,114,9,0,75,PM
76,2022-03-31 13:55:00,93.83,93.97,93.77,93.8,81,8,0,76,PM
77,2022-03-31 14:00:00,93.81,93.85,93.67,93.77,105,8,0,77,PM
78,2022-03-31 14:05:00,93.77,93.78,93.48,93.52,82,7,0,78,PM
79,2022-03-31 14:10:00,93.52,93.74,93.5,93.63,79,8,0,79,PM
80,2022-03-31 14:15:00,93.63,93.72,93.58,93.7,61,8,0,80,PM
81,2022-03-31 14:20:00,93.7,93.78,93.65,93.75,67,8,0,81,PM
82,2022-03-31 14:25:00,93.77,93.87,93.76,93.85,64,7,0,82,PM
83,2022-03-31 14:30:00,93.85,93.89,93.81,93.87,85,7,0,83,PM
84,2022-03-31 14:35:00,93.87,93.99,93.87,93.98,84,7,0,84,PM
85,2022-03-31 14:40:00,93.98,94.0,93.82,93.85,71,7,0,85,PM
86,2022-03-31 14:45:00,93.86,93.95,93.82,93.9,82,7,0,86,PM
87,2022-03-31 14:50:00,93.9,93.94,93.86,93.88,50,7,0,87,PM
88,2022-03-31 14:55:00,93.89,93.96,93.86,93.93,68,6,0,88,PM
89,2022-03-31 15:00:00,93.93,94.35,93.93,94.28,97,6,0,89,PM
90,2022-03-31 15:05:00,94.27,94.29,94.21,94.26,47,7,0,90,PM
91,2022-03-31 15:10:00,94.26,94.26,94.21,94.24,42,6,0,91,PM
92,2022-03-31 15:15:00,94.24,94.32,94.23,94.24,62,6,0,92,PM
93,2022-03-31 15:20:00,94.24,94.27,94.19,94.25,54,6,0,93,PM
94,2022-03-31 15:25:00,94.25,94.3,94.15,94.15,45,6,0,94,PM
95,2022-03-31 15:30:00,94.15,94.15,93.95,93.98,71,6,0,95,PM
96,2022-03-31 15:35:00,93.98,94.06,93.97,94.03,50,6,0,96,PM
97,2022-03-31 15:40:00,94.03,94.05,93.96,94.03,51,6,0,97,PM
98,2022-03-31 15:45:00,94.03,94.17,94.03,94.17,38,6,0,98,PM
99,2022-03-31 15:50:00,94.17,94.17,94.07,94.08,34,6,0,99,PM
100,2022-03-31 15:55:00,94.08,94.23,94.08,94.18,71,6,0,100,PM
101,2022-03-31 16:00:00,94.18,94.25,94.1,94.1,64,6,0,101,PM
102,2022-03-31 16:05:00,94.09,94.17,94.07,94.17,60,6,0,102,PM
103,2022-03-31 16:10:00,94.16,94.16,94.1,94.11,48,6,0,103,PM
104,2022-03-31 16:15:00,94.1,94.18,94.09,94.18,30,6,0,104,PM
105,2022-03-31 16:20:00,94.18,94.22,94.15,94.19,33,6,0,105,PM
106,2022-03-31 16:25:00,94.19,94.2,94.12,94.13,43,6,0,106,PM
107,2022-03-31 16:30:00,94.13,94.19,94.1,94.17,43,6,0,107,PM
108,2022-03-31 16:35:00,94.17,94.23,94.15,94.2,46,6,0,108,PM
109,2022-03-31 16:40:00,94.2,94.25,94.18,94.24,39,6,0,109,PM
110,2022-03-31 16:45:00,94.24,94.27,94.21,94.25,26,6,0,110,PM
111,2022-03-31 16:50:00,94.24,94.29,94.24,94.26,24,6,0,111,PM
112,2022-03-31 16:55:00,94.26,94.32,94.23,94.23,33,7,0,112,PM
113,2022-03-31 17:00:00,94.23,94.26,94.17,94.17,39,7,0,113,PM
114,2022-03-31 17:05:00,94.17,94.21,94.16,94.17,49,7,0,114,PM
