,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:40:00,595.4,595.59,593.62,594.73,144,61,0,0,TMO
1,2022-03-30 13:45:00,594.73,595.89,593.57,593.93,118,63,0,1,TMO
2,2022-03-30 13:50:00,593.83,594.38,592.1,593.52,150,52,0,2,TMO
3,2022-03-30 13:55:00,593.52,594.18,592.95,593.81,157,40,0,3,TMO
4,2022-03-30 14:00:00,593.8,594.63,593.31,594.56,124,32,0,4,TMO
5,2022-03-30 14:05:00,594.56,594.91,592.55,594.27,150,31,0,5,TMO
6,2022-03-30 14:10:00,594.27,594.33,593.13,593.78,132,36,0,6,TMO
7,2022-03-30 14:15:00,593.87,594.26,593.58,593.65,132,34,0,7,TMO
8,2022-03-30 14:20:00,593.75,594.25,592.32,593.65,156,30,0,8,TMO
9,2022-03-30 14:25:00,593.66,593.78,592.27,592.48,178,37,0,9,TMO
10,2022-03-30 14:30:00,592.48,592.72,591.15,591.48,124,44,0,10,TMO
11,2022-03-30 14:35:00,591.49,594.03,591.49,593.97,205,34,0,11,TMO
12,2022-03-30 14:40:00,593.94,594.32,593.21,593.57,170,33,0,12,TMO
13,2022-03-30 14:45:00,593.57,594.44,593.42,593.58,168,34,0,13,TMO
14,2022-03-30 14:50:00,593.58,594.56,593.58,593.83,125,33,0,14,TMO
15,2022-03-30 14:55:00,593.83,594.46,593.72,594.08,108,32,0,15,TMO
16,2022-03-30 15:00:00,594.06,594.08,592.83,593.25,113,27,0,16,TMO
17,2022-03-30 15:05:00,593.28,594.15,593.28,593.38,147,30,0,17,TMO
18,2022-03-30 15:10:00,593.34,594.58,592.72,594.48,164,32,0,18,TMO
19,2022-03-30 15:15:00,594.47,596.35,594.46,595.53,155,33,0,19,TMO
20,2022-03-30 15:20:00,595.53,595.7,594.43,594.97,136,37,0,20,TMO
21,2022-03-30 15:25:00,594.98,594.98,594.11,594.11,88,33,0,21,TMO
22,2022-03-30 15:30:00,594.12,594.32,593.91,594.23,79,30,0,22,TMO
23,2022-03-30 15:35:00,594.23,595.36,594.21,595.11,126,30,0,23,TMO
24,2022-03-30 15:40:00,595.16,595.97,594.94,595.86,122,31,0,24,TMO
25,2022-03-30 15:45:00,595.87,596.22,595.14,595.25,114,31,0,25,TMO
26,2022-03-30 15:50:00,595.24,595.35,594.51,594.53,78,28,0,26,TMO
27,2022-03-30 15:55:00,594.54,595.06,593.44,594.18,172,28,0,27,TMO
28,2022-03-30 16:00:00,594.18,595.63,594.18,594.86,132,32,0,28,TMO
29,2022-03-30 16:05:00,594.83,594.93,594.14,594.28,77,35,0,29,TMO
30,2022-03-30 16:10:00,594.28,594.35,593.35,594.21,86,33,0,30,TMO
31,2022-03-30 16:15:00,594.21,594.46,594.0,594.39,78,29,0,31,TMO
32,2022-03-30 16:20:00,594.41,595.16,594.41,595.11,85,30,0,32,TMO
33,2022-03-30 16:25:00,595.11,595.5,594.98,595.07,75,29,0,33,TMO
34,2022-03-30 16:30:00,595.07,595.21,594.52,595.17,66,27,0,34,TMO
35,2022-03-30 16:35:00,595.2,595.81,595.2,595.8,80,26,0,35,TMO
36,2022-03-30 16:40:00,595.8,596.53,595.79,596.14,84,28,0,36,TMO
37,2022-03-30 16:45:00,596.14,596.14,595.82,595.88,83,28,0,37,TMO
38,2022-03-30 16:50:00,595.87,595.88,595.27,595.4,95,27,0,38,TMO
39,2022-03-30 16:55:00,595.4,595.61,595.15,595.15,121,28,0,39,TMO
40,2022-03-30 17:00:00,595.14,595.27,594.57,594.57,90,28,0,40,TMO
41,2022-03-30 17:05:00,594.56,594.81,594.01,594.19,90,28,0,41,TMO
42,2022-03-30 17:10:00,594.19,594.82,594.17,594.63,107,29,0,42,TMO
