,index,Open,High,Low,Close,Volume,spread,real_volume,day_num,ticker
0,2022-03-30 13:35:00,364.33,364.93,362.03,362.48,1400,15,0,0,TSLA
1,2022-03-30 13:40:00,362.43,363.39,361.26,362.67,1202,15,0,1,TSLA
2,2022-03-30 13:45:00,362.7,365.57,362.0,364.95,1268,15,0,2,TSLA
3,2022-03-30 13:50:00,364.91,366.2,364.21,365.55,1333,13,0,3,TSLA
4,2022-03-30 13:55:00,365.52,366.27,364.83,365.58,1158,13,0,4,TSLA
5,2022-03-30 14:00:00,365.55,366.35,365.19,365.35,1104,13,0,5,TSLA
6,2022-03-30 14:05:00,365.35,365.96,364.61,365.44,1098,13,0,6,TSLA
7,2022-03-30 14:10:00,365.43,369.87,365.43,369.82,1857,13,0,7,TSLA
8,2022-03-30 14:15:00,369.79,370.26,368.07,368.86,1275,13,0,8,TSLA
9,2022-03-30 14:20:00,368.94,370.32,368.04,370.18,1116,14,0,9,TSLA
10,2022-03-30 14:25:00,370.18,370.67,369.52,370.14,975,13,0,10,TSLA
11,2022-03-30 14:30:00,370.17,370.54,368.49,369.57,899,14,0,11,TSLA
12,2022-03-30 14:35:00,369.57,371.21,369.08,369.86,956,14,0,12,TSLA
13,2022-03-30 14:40:00,369.85,370.12,368.91,369.18,680,13,0,13,TSLA
14,2022-03-30 14:45:00,369.17,369.91,368.46,369.74,789,12,0,14,TSLA
15,2022-03-30 14:50:00,369.75,370.62,368.26,368.5,788,13,0,15,TSLA
16,2022-03-30 14:55:00,368.5,368.65,367.39,367.74,848,12,0,16,TSLA
17,2022-03-30 15:00:00,367.77,368.29,366.9,367.23,860,12,0,17,TSLA
18,2022-03-30 15:05:00,367.23,367.25,365.44,365.98,740,11,0,18,TSLA
19,2022-03-30 15:10:00,365.98,366.88,365.4,366.81,847,12,0,19,TSLA
20,2022-03-30 15:15:00,366.79,367.39,366.52,367.16,760,11,0,20,TSLA
21,2022-03-30 15:20:00,367.19,367.92,366.9,367.19,717,11,0,21,TSLA
22,2022-03-30 15:25:00,367.23,367.24,365.54,366.03,710,11,0,22,TSLA
23,2022-03-30 15:30:00,366.08,367.2,365.87,367.15,630,12,0,23,TSLA
24,2022-03-30 15:35:00,367.18,367.54,366.86,367.05,704,10,0,24,TSLA
25,2022-03-30 15:40:00,367.1,367.22,366.39,367.06,587,12,0,25,TSLA
26,2022-03-30 15:45:00,367.05,367.62,366.68,366.84,650,11,0,26,TSLA
27,2022-03-30 15:50:00,366.87,368.06,366.8,367.91,547,12,0,27,TSLA
28,2022-03-30 15:55:00,367.91,368.76,367.76,368.37,689,12,0,28,TSLA
29,2022-03-30 16:00:00,368.37,368.74,368.15,368.34,542,11,0,29,TSLA
30,2022-03-30 16:05:00,368.36,368.36,367.31,367.78,560,11,0,30,TSLA
31,2022-03-30 16:10:00,367.77,367.77,367.01,367.38,480,11,0,31,TSLA
32,2022-03-30 16:15:00,367.4,367.76,367.22,367.54,377,11,0,32,TSLA
33,2022-03-30 16:20:00,367.56,367.81,367.13,367.54,409,11,0,33,TSLA
34,2022-03-30 16:25:00,367.52,368.26,367.48,367.84,393,11,0,34,TSLA
35,2022-03-30 16:30:00,367.84,368.26,367.54,367.98,398,11,0,35,TSLA
36,2022-03-30 16:35:00,368.01,368.06,367.25,367.83,347,11,0,36,TSLA
37,2022-03-30 16:40:00,367.83,368.12,367.38,367.75,314,11,0,37,TSLA
38,2022-03-30 16:45:00,367.74,368.18,367.2,368.13,399,11,0,38,TSLA
39,2022-03-30 16:50:00,368.11,368.55,367.88,368.19,403,11,0,39,TSLA
40,2022-03-30 16:55:00,368.19,368.33,368.04,368.18,283,11,0,40,TSLA
41,2022-03-30 17:00:00,368.18,368.23,367.71,368.12,355,11,0,41,TSLA
42,2022-03-30 17:05:00,368.15,368.22,367.53,367.72,383,11,0,42,TSLA
43,2022-03-30 17:10:00,367.75,370.73,367.61,370.68,803,11,0,43,TSLA
44,2022-03-30 17:15:00,370.7,370.82,368.87,369.38,810,12,0,44,TSLA
45,2022-03-30 17:20:00,369.37,369.45,368.53,369.04,576,12,0,45,TSLA
46,2022-03-30 17:25:00,369.02,369.07,368.1,368.48,493,12,0,46,TSLA
47,2022-03-30 17:30:00,368.44,369.33,368.44,369.03,567,12,0,47,TSLA
48,2022-03-30 17:35:00,369.02,369.1,367.99,368.05,563,11,0,48,TSLA
49,2022-03-30 17:40:00,368.03,368.35,367.61,368.04,542,11,0,49,TSLA
50,2022-03-30 17:45:00,368.05,368.74,367.71,368.53,505,11,0,50,TSLA
51,2022-03-30 17:50:00,368.49,368.72,367.8,368.1,478,11,0,51,TSLA
52,2022-03-30 17:55:00,368.08,368.26,366.28,366.56,679,12,0,52,TSLA
53,2022-03-30 18:00:00,366.58,367.64,366.22,366.93,686,11,0,53,TSLA
54,2022-03-30 18:05:00,366.92,366.95,366.24,366.69,565,11,0,54,TSLA
55,2022-03-30 18:10:00,366.66,366.7,366.23,366.41,472,12,0,55,TSLA
56,2022-03-30 18:15:00,366.39,366.41,365.1,365.72,607,12,0,56,TSLA
57,2022-03-30 18:20:00,365.72,365.75,364.47,364.81,553,11,0,57,TSLA
58,2022-03-30 18:25:00,364.81,365.05,363.68,364.67,762,11,0,58,TSLA
59,2022-03-30 18:30:00,364.68,365.86,364.37,365.33,596,12,0,59,TSLA
60,2022-03-30 18:35:00,365.33,366.12,365.31,365.73,399,11,0,60,TSLA
61,2022-03-30 18:40:00,365.72,365.79,364.69,365.15,487,11,0,61,TSLA
62,2022-03-30 18:45:00,365.18,365.18,364.02,364.56,525,11,0,62,TSLA
63,2022-03-30 18:50:00,364.58,364.87,364.18,364.26,506,11,0,63,TSLA
64,2022-03-30 18:55:00,364.24,364.91,363.85,364.07,567,11,0,64,TSLA
65,2022-03-30 19:00:00,364.13,364.33,362.64,362.94,547,12,0,65,TSLA
66,2022-03-30 19:05:00,362.89,363.63,362.1,362.69,710,12,0,66,TSLA
67,2022-03-30 19:10:00,362.69,364.0,362.42,363.82,705,12,0,67,TSLA
68,2022-03-30 19:15:00,363.81,364.08,362.2,362.21,598,12,0,68,TSLA
69,2022-03-30 19:20:00,362.21,362.45,361.47,361.87,759,12,0,69,TSLA
70,2022-03-30 19:25:00,361.83,362.66,361.58,362.48,673,11,0,70,TSLA
71,2022-03-30 19:30:00,362.45,363.56,362.16,363.12,631,12,0,71,TSLA
72,2022-03-30 19:35:00,363.12,363.94,362.63,362.71,615,12,0,72,TSLA
73,2022-03-30 19:40:00,362.66,363.45,361.82,363.05,817,12,0,73,TSLA
74,2022-03-31 10:00:00,366.58,366.58,366.42,366.56,21,15,0,74,TSLA
75,2022-03-31 10:05:00,366.49,366.67,366.17,366.18,35,15,0,75,TSLA
76,2022-03-31 10:10:00,366.18,366.35,366.01,366.14,51,15,0,76,TSLA
77,2022-03-31 10:15:00,366.17,366.42,366.08,366.14,42,15,0,77,TSLA
78,2022-03-31 10:20:00,366.13,366.22,365.73,366.11,44,15,0,78,TSLA
79,2022-03-31 10:25:00,366.11,366.21,365.89,365.96,32,15,0,79,TSLA
80,2022-03-31 10:30:00,365.99,366.06,365.89,366.03,21,15,0,80,TSLA
81,2022-03-31 10:35:00,366.03,366.06,365.83,365.86,35,15,0,81,TSLA
82,2022-03-31 10:40:00,365.86,365.87,365.27,365.29,66,15,0,82,TSLA
83,2022-03-31 10:45:00,365.29,365.29,365.13,365.22,48,15,0,83,TSLA
84,2022-03-31 10:50:00,365.22,365.56,365.19,365.56,42,15,0,84,TSLA
85,2022-03-31 10:55:00,365.57,365.57,365.31,365.34,44,15,0,85,TSLA
86,2022-03-31 11:00:00,365.34,366.01,365.23,365.95,93,15,0,86,TSLA
87,2022-03-31 11:05:00,365.98,366.23,365.77,365.82,71,15,0,87,TSLA
88,2022-03-31 11:10:00,365.81,365.82,365.45,365.47,56,15,0,88,TSLA
89,2022-03-31 11:15:00,365.48,365.5,364.65,364.65,62,15,0,89,TSLA
90,2022-03-31 11:20:00,364.63,364.8,364.51,364.77,54,15,0,90,TSLA
91,2022-03-31 11:25:00,364.74,364.77,364.64,364.68,56,15,0,91,TSLA
92,2022-03-31 11:30:00,364.64,364.7,364.56,364.68,38,15,0,92,TSLA
93,2022-03-31 11:35:00,364.68,365.37,364.65,365.3,80,15,0,93,TSLA
94,2022-03-31 11:40:00,365.28,365.3,365.07,365.22,51,15,0,94,TSLA
95,2022-03-31 11:45:00,365.18,365.37,365.18,365.37,42,15,0,95,TSLA
96,2022-03-31 11:50:00,365.33,365.41,365.28,365.32,33,15,0,96,TSLA
97,2022-03-31 11:55:00,365.29,365.73,365.29,365.66,28,15,0,97,TSLA
98,2022-03-31 12:00:00,365.66,365.66,365.37,365.43,51,15,0,98,TSLA
99,2022-03-31 12:05:00,365.42,365.78,365.38,365.59,56,15,0,99,TSLA
100,2022-03-31 12:10:00,365.59,365.71,365.56,365.56,36,15,0,100,TSLA
101,2022-03-31 12:15:00,365.53,365.6,365.5,365.56,19,15,0,101,TSLA
102,2022-03-31 12:20:00,365.53,365.63,365.48,365.63,27,15,0,102,TSLA
103,2022-03-31 12:25:00,365.63,365.76,365.5,365.59,40,15,0,103,TSLA
104,2022-03-31 12:30:00,365.59,366.14,365.3,365.67,142,15,0,104,TSLA
105,2022-03-31 12:35:00,365.68,365.8,365.25,365.55,91,15,0,105,TSLA
106,2022-03-31 12:40:00,365.56,365.56,365.31,365.44,44,15,0,106,TSLA
107,2022-03-31 12:45:00,365.47,365.66,365.36,365.48,62,15,0,107,TSLA
108,2022-03-31 12:50:00,365.52,365.76,365.48,365.64,52,15,0,108,TSLA
109,2022-03-31 12:55:00,365.64,366.18,365.52,366.1,102,15,0,109,TSLA
110,2022-03-31 13:00:00,366.17,366.18,365.57,365.82,78,15,0,110,TSLA
111,2022-03-31 13:05:00,365.85,365.99,365.43,365.43,74,15,0,111,TSLA
112,2022-03-31 13:10:00,365.42,365.6,365.13,365.24,119,15,0,112,TSLA
113,2022-03-31 13:15:00,365.24,365.46,364.98,365.44,129,15,0,113,TSLA
114,2022-03-31 13:20:00,365.48,365.55,365.33,365.4,111,15,0,114,TSLA
115,2022-03-31 13:25:00,365.4,365.56,364.64,364.72,181,15,0,115,TSLA
116,2022-03-31 13:30:00,364.74,364.91,360.88,362.01,2128,15,0,116,TSLA
117,2022-03-31 13:35:00,362.03,363.25,361.36,363.1,1514,14,0,117,TSLA
118,2022-03-31 13:40:00,363.13,363.33,360.45,362.52,1679,14,0,118,TSLA
119,2022-03-31 13:45:00,362.52,363.12,360.94,362.41,1347,13,0,119,TSLA
120,2022-03-31 13:50:00,362.37,364.6,361.89,363.3,1503,14,0,120,TSLA
121,2022-03-31 13:55:00,363.28,363.7,361.69,363.07,1134,12,0,121,TSLA
122,2022-03-31 14:00:00,363.04,363.04,361.34,362.68,1200,12,0,122,TSLA
123,2022-03-31 14:05:00,362.68,363.76,362.48,363.67,1068,12,0,123,TSLA
124,2022-03-31 14:10:00,363.72,364.13,362.73,363.92,932,14,0,124,TSLA
125,2022-03-31 14:15:00,363.92,365.72,363.77,365.23,1065,12,0,125,TSLA
126,2022-03-31 14:20:00,365.26,366.17,364.39,364.54,1028,12,0,126,TSLA
127,2022-03-31 14:25:00,364.53,364.95,363.86,364.53,899,12,0,127,TSLA
128,2022-03-31 14:30:00,364.58,365.9,364.48,365.53,897,13,0,128,TSLA
129,2022-03-31 14:35:00,365.5,365.71,364.52,364.79,673,13,0,129,TSLA
130,2022-03-31 14:40:00,364.77,364.97,363.66,364.44,774,13,0,130,TSLA
131,2022-03-31 14:45:00,364.42,365.43,364.21,365.28,693,12,0,131,TSLA
